filename,filepath,algorithm,original_size,compressed_size,compression_ratio,compression_time,speed_mbps
ptt5,data\academic_corpora\canterbury\ptt5,lzma,513216,41992,12.22175652505239,0.09727811813354492,5.031356767169754
ptt5,data\academic_corpora\canterbury\ptt5,zstd,513216,43640,11.760219981668195,0.22447752952575684,2.1803559536795016
ptt5,data\academic_corpora\canterbury\ptt5,brotli,513216,40939,12.536114707247368,0.7785446643829346,0.6286613220279086
sum,data\academic_corpora\canterbury\sum,gzip,38240,12850,2.975875486381323,0.009277582168579102,3.9308200344357926
sum,data\academic_corpora\canterbury\sum,bzip2,38240,12909,2.9622743822139594,0.004402637481689453,8.283331528214015
sum,data\academic_corpora\canterbury\sum,lzma,38240,9452,4.045704612780364,0.02257394790649414,1.6155129802919246
sum,data\academic_corpora\canterbury\sum,zstd,38240,11107,3.442873863329432,0.01068878173828125,3.4118486795146326
sum,data\academic_corpora\canterbury\sum,brotli,38240,10144,3.769716088328076,0.030009984970092773,1.215212399996822
xargs.1,data\academic_corpora\canterbury\xargs.1,gzip,4227,1748,2.418192219679634,0.0010085105895996094,3.997163120567376
xargs.1,data\academic_corpora\canterbury\xargs.1,bzip2,4227,1762,2.398978433598184,0.0012173652648925781,3.3113983548766157
xargs.1,data\academic_corpora\canterbury\xargs.1,lzma,4227,1812,2.3327814569536423,0.0017325878143310547,2.3266822622815466
xargs.1,data\academic_corpora\canterbury\xargs.1,zstd,4227,1724,2.4518561484918795,0.0,0.0
xargs.1,data\academic_corpora\canterbury\xargs.1,brotli,4227,1464,2.887295081967213,0.00834512710571289,0.4830581109650877
concatenated_types.dat,data\academic_corpora\heterogeneous\concatenated_types.dat,gzip,1524000,563907,2.7025732966606197,0.025513172149658203,56.966638631903564
concatenated_types.dat,data\academic_corpora\heterogeneous\concatenated_types.dat,bzip2,1524000,543873,2.8021247607437765,0.13670802116394043,10.631414644355113
concatenated_types.dat,data\academic_corpora\heterogeneous\concatenated_types.dat,lzma,1524000,525276,2.9013318712448313,0.1975095272064209,7.358630638025628
concatenated_types.dat,data\academic_corpora\heterogeneous\concatenated_types.dat,zstd,1524000,520162,2.929856467792726,0.16719698905944824,8.692738226801184
concatenated_types.dat,data\academic_corpora\heterogeneous\concatenated_types.dat,brotli,1524000,521858,2.9203346504221455,0.6999518871307373,2.0764279444419276
mixed_code_logs.dat,data\academic_corpora\heterogeneous\mixed_code_logs.dat,gzip,862490,338649,2.54685529855396,0.022069215774536133,37.27067466104899
mixed_code_logs.dat,data\academic_corpora\heterogeneous\mixed_code_logs.dat,bzip2,862490,329029,2.6213190934537685,0.1194913387298584,6.883633323556466
mixed_code_logs.dat,data\academic_corpora\heterogeneous\mixed_code_logs.dat,lzma,862490,318684,2.706411366745742,0.15169262886047363,5.422376600209039
mixed_code_logs.dat,data\academic_corpora\heterogeneous\mixed_code_logs.dat,zstd,862490,321348,2.683975005290215,0.2206425666809082,3.7279051523488236
mixed_code_logs.dat,data\academic_corpora\heterogeneous\mixed_code_logs.dat,brotli,862490,318041,2.7118830591024428,0.738156795501709,1.1143087297572976
mixed_formats.dat,data\academic_corpora\heterogeneous\mixed_formats.dat,gzip,516061,68713,7.510383770174494,0.020596742630004883,23.89475511928602
mixed_formats.dat,data\academic_corpora\heterogeneous\mixed_formats.dat,bzip2,516061,53893,9.57565917651643,0.07063174247741699,6.967888715987456
mixed_formats.dat,data\academic_corpora\heterogeneous\mixed_formats.dat,lzma,516061,46836,11.018468699291143,0.05890798568725586,8.35462485530885
mixed_formats.dat,data\academic_corpora\heterogeneous\mixed_formats.dat,zstd,516061,45796,11.268691588785046,0.0659189224243164,7.466052285123189
mixed_formats.dat,data\academic_corpora\heterogeneous\mixed_formats.dat,brotli,516061,44027,11.721466372907534,0.27356457710266113,1.7990418445668648
mixed_text_binary.dat,data\academic_corpora\heterogeneous\mixed_text_binary.dat,gzip,629800,250903,2.510133398165825,0.030018329620361328,20.008577827903355
mixed_text_binary.dat,data\academic_corpora\heterogeneous\mixed_text_binary.dat,bzip2,629800,244008,2.581062915969968,0.09401917457580566,6.388314800491955
mixed_text_binary.dat,data\academic_corpora\heterogeneous\mixed_text_binary.dat,lzma,629800,226684,2.7783169522330646,0.08878326416015625,6.765059723296382
mixed_text_binary.dat,data\academic_corpora\heterogeneous\mixed_text_binary.dat,zstd,629800,234445,2.68634434515558,0.05113363265991211,11.746164964796941
mixed_text_binary.dat,data\academic_corpora\heterogeneous\mixed_text_binary.dat,brotli,629800,227404,2.7695203250602454,0.5077981948852539,1.1828007474669697
multimedia_sim.dat,data\academic_corpora\heterogeneous\multimedia_sim.dat,gzip,2058300,2049370,1.0043574366756614,0.05660200119018555,34.67983117528622
multimedia_sim.dat,data\academic_corpora\heterogeneous\multimedia_sim.dat,bzip2,2058300,2057736,1.0002740876380645,0.1883864402770996,10.419793710055053
multimedia_sim.dat,data\academic_corpora\heterogeneous\multimedia_sim.dat,lzma,2058300,2056716,1.0007701598081602,0.7838330268859863,2.504293361122315
multimedia_sim.dat,data\academic_corpora\heterogeneous\multimedia_sim.dat,zstd,2058300,2048744,1.004664321164577,0.7054927349090576,2.78237853960611
multimedia_sim.dat,data\academic_corpora\heterogeneous\multimedia_sim.dat,brotli,2058300,2058308,0.9999961133124877,1.2783119678497314,1.535578086436044
bible.txt,data\academic_corpora\large\bible.txt,gzip,4047392,1177362,3.4376784710225063,0.35753464698791504,10.795859454031017
bible.txt,data\academic_corpora\large\bible.txt,bzip2,4047392,845635,4.786216275343381,0.2301468849182129,16.771436207793176
bible.txt,data\academic_corpora\large\bible.txt,lzma,4047392,885184,4.572373653387318,1.6112966537475586,2.3955202723538043
bible.txt,data\academic_corpora\large\bible.txt,zstd,4047392,892255,4.536138211609909,1.6008250713348389,2.4111902467954067
